Semana,Nivel_Escolar,Inventario_Inicial,Ventas,Inventario_Final
31,Kínder,673,106,567
31,Preescolar,766,98,668
31,Primaria 1°,767,109,658
31,Primaria 2°,742,89,653
31,Primaria 3°,791,90,701
31,Primaria 4°,847,111,736
31,Primaria 5°,873,113,760
31,Primaria 6°,763,81,682
32,Kínder,3893,491,3402
32,Preescolar,3750,461,3289
32,Primaria 1°,3891,446,3445
32,Primaria 2°,4266,461,3805
32,Primaria 3°,4075,433,3642
32,Primaria 4°,3928,508,3420
32,Primaria 5°,3889,501,3388
32,Primaria 6°,3689,424,3265
33,Kínder,4017,446,3571
33,Preescolar,3776,509,3267
33,Primaria 1°,4201,429,3772
33,Primaria 2°,4263,504,3759
33,Primaria 3°,3732,453,3279
33,Primaria 4°,3931,498,3433
33,Primaria 5°,4003,433,3570
33,Primaria 6°,3694,503,3191
34,Kínder,3751,479,3272
34,Preescolar,3966,462,3504
34,Primaria 1°,3869,455,3414
34,Primaria 2°,4000,470,3530
34,Primaria 3°,4047,412,3635
34,Primaria 4°,4101,448,3653
34,Primaria 5°,3659,503,3156
34,Primaria 6°,3905,521,3384
35,Kínder,3762,446,3316
35,Preescolar,4119,470,3649
35,Primaria 1°,3925,479,3446
35,Primaria 2°,4066,472,3594
35,Primaria 3°,3907,482,3425
35,Primaria 4°,4207,513,3694
35,Primaria 5°,3728,472,3256
35,Primaria 6°,3724,470,3254
36,Kínder,3877,500,3377
36,Preescolar,3784,454,3330
36,Primaria 1°,3896,434,3462
36,Primaria 2°,4249,459,3790
36,Primaria 3°,4057,460,3597
36,Primaria 4°,4090,467,3623
36,Primaria 5°,4221,483,3738
36,Primaria 6°,4140,491,3649
37,Kínder,3908,554,3354
37,Preescolar,4288,471,3817
37,Primaria 1°,3996,486,3510
37,Primaria 2°,3842,475,3367
37,Primaria 3°,3952,466,3486
37,Primaria 4°,4049,504,3545
37,Primaria 5°,4206,455,3751
37,Primaria 6°,3947,500,3447
38,Kínder,3873,487,3386
38,Preescolar,4240,457,3783
38,Primaria 1°,3966,481,3485
38,Primaria 2°,3787,457,3330
38,Primaria 3°,4139,466,3673
38,Primaria 4°,3968,497,3471
38,Primaria 5°,4056,417,3639
38,Primaria 6°,4069,491,3578
39,Kínder,4145,501,3644
39,Preescolar,4040,480,3560
39,Primaria 1°,4017,500,3517
39,Primaria 2°,3989,494,3495
39,Primaria 3°,4116,461,3655
39,Primaria 4°,4092,474,3618
39,Primaria 5°,4060,455,3605
39,Primaria 6°,3823,510,3313
40,Kínder,1527,203,1324
40,Preescolar,1517,207,1310
40,Primaria 1°,1662,174,1488
40,Primaria 2°,1496,185,1311
40,Primaria 3°,1798,229,1569
40,Primaria 4°,1647,178,1469
40,Primaria 5°,1689,203,1486
40,Primaria 6°,1480,199,1281
